SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
1173,8/3/2016,vPhrase Analytics,Technology,AI based data analytics platform,Seed Funding,,
1174,8/3/2016,LoveCycles,Consumer Internet,Women’s health Tracker,Seed Funding,,"750,000"
1175,8/3/2016,Kartrocket,ECommerce,ECommerce SAAS platform,Private Equity,,"8,000,000"
1176,8/3/2016,dunzo,Consumer Internet,Daily Task Management App,Seed Funding,,"650,000"
1177,9/3/2016,Indiamart,ECommerce,B2B Marketplace for SMBs,Private Equity,,
1178,9/3/2016,SmartVizX,Technology,Virtual Reality Solutions,Seed Funding,,"500,000"
1179,9/3/2016,MyGubbi,Real Estate,Interior Design & Home Décor Solutions,Seed Funding,,"2,500,000"
1180,9/3/2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Seed Funding,,"1,000,000"
1181,9/3/2016,Cloudacar,Consumer Internet,Carpooling Mobile App,Seed Funding,,
1182,9/3/2016,Justride,Consumer Internet,Self Drive Car Rental,Seed Funding,,"400,000"
1183,9/3/2016,Yana,Consumer Internet,Personal AI Transaction Engine App,Seed Funding,,
1184,10/3/2016,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,Private Equity,,"11,100,000"
1185,10/3/2016,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Seed Funding,,
1186,10/3/2016,Icertis,Technology,Contract Management Software Solutions platform,Private Equity,,"15,000,000"
1187,10/3/2016,Supplified,ECommerce,Construction material eTailer,Seed Funding,,"1,000,000"
1188,11/3/2016,JollyFoodFellow,Technology,Food Related Marketing & Branding platform,Seed Funding,,
1189,14/3/2016,PinkBlue,ECommerce,Medical Supplies eTailer,Seed Funding,,"223,608"
1190,14/3/2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",Private Equity,,"14,900,000"
1191,14/3/2016,eSwasthya,Consumer Internet,Online Medicine Delivery Aggregator,Seed Funding,,
1192,15/3/2016,FlipClass,Consumer Internet,Tutor Search Platform,Private Equity,,"1,000,000"
1193,15/3/2016,Proximit,Technology,Advertising Technology,Seed Funding,,"150,000"
1194,15/3/2016,WithMe,Consumer Internet,Personalized Fashion App,Seed Funding,,"250,000"
1195,16/3/2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Seed Funding,,"180,000"
1196,16/3/2016,Avagmah,Consumer Internet,Online Education Portal,Seed Funding,,
1197,16/3/2016,WorkIndia,Consumer Internet,Online Job Board,Seed Funding,,
1198,16/3/2016,Wealthy,Consumer Internet,Online Investment management portal,Seed Funding,,"250,000"
1199,17/3/2016,Pramati,Healthcare,Specialized Patient Care platform,Seed Funding,,"200,000"
1200,17/3/2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Seed Funding,,"230,000"
1201,17/3/2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Seed Funding,,"800,000"
1202,17/3/2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Seed Funding,,"108,000"
1203,18/3/2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Private Equity,,"1,500,000"
1204,19/3/2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,Seed Funding,,"30,000"
1205,21/3/2016,OneClickWash,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Seed Funding,,
1206,21/3/2016,Girnar Software,Consumer Internet,Online News Media Network,Private Equity,,
1207,21/3/2016,Room On Call,Consumer Internet,Budget hotel aggregator,Private Equity,,"2,000,000"
1208,22/3/2016,Byju’s,Consumer Internet,Educational Video Content Creator,Private Equity,,"75,000,000"
1209,22/3/2016,BigBasket,eCommerce,Online Grocery Shop,Private Equity,,"150,000,000"
1210,22/3/2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Seed Funding,,"600,000"
1211,22/3/2016,Smartron,Technology,Internet of Things Device manufacturer,Private Equity,,
1212,22/3/2016,LifCare,Consumer Internet,Online Pharmacy portal,Seed Funding,,
1213,22/3/2016,CreditSeva,Consumer Internet,Online Credit management tools,Seed Funding,,"360,000"
1214,22/3/2016,CityShor,Consumer Internet,online lifestyle media recommendation portal,Seed Funding,,
1215,23/3/2016,Endless Robotics,Technology,Interior Painting Automation,Seed Funding,,"100,000"
1216,23/3/2016,SP Robotics,Technology,Robotic Classes for Students,Seed Funding,,"300,000"
1217,23/3/2016,StalkBuyLove,eCommerce,Fashion eTailer,Seed Funding,,
1218,23/3/2016,eKincare,Consumer Internet,Healthcare related solutions,Private Equity,,"330,000"
1219,23/3/2016,HashLearn,Consumer Internet,Mobile based private tutoring services,Seed Funding,,
1220,23/3/2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Private Equity,,"500,000"
1221,24/3/2016,Horntell,Consumer Internet,Unified Push Notification service,Seed Funding,,"150,000"
1222,28/3/2016,Schoolkart,eCommerce,Online Marketplace for Schools,Seed Funding,,"300,000"
1223,29/3/2016,HealthEminds,Consumer Internet,Online mental healthcare,Seed Funding,,
1224,29/3/2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,Seed Funding,,"300,000"
1225,29/3/2016,Veritas Finance,Finance,Asset Based Lending platform,Private Equity,,"4,700,000"
1226,29/3/2016,QikShip,Consumer Internet,Mobile based Logistics provider,Seed Funding,,"200,000"
1227,29/3/2016,FixNix,Consumer Internet,GRC SAAS Platform,Seed Funding,,"500,000"
1228,30/3/2016,True Balance,Technology,Mobile Balance Check App,Private Equity,,
1229,30/3/2016,Touchkin,Healthcare,Predictive Healthcare platform,Seed Funding,,"400,000"
1230,31/3/2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Seed Funding,,
1231,31/3/2016,Transcell,Healthcare,Family Stem Cell Banking Services,Seed Funding,,
1232,1/2/2016,Blue Tokai Coffee,ECommerce,Specialty Coffee Etailer,Seed Funding,,
1233,2/2/2016,Altizone,Technology,IoT & M2M Solutions,Private Equity,,"4,000,000"
1234,2/2/2016,Oust App,Consumer Internet,Competitive Exam Preparation Platform,Seed Funding,,
1235,2/2/2016,Strike,Consumer Internet,Mobile Email productivity tool,Seed Funding,,"22,500"
1236,2/2/2016,MaaxMarket,Consumer Internet,Marketing Automation platform,Seed Funding,,"22,500"
1237,2/2/2016,Gamooz,Technology,Augmented Reality Solutions,Seed Funding,,"22,500"
1238,2/2/2016,SoundSurround,Technology,Audio Technology Solutions,Seed Funding,,"22,500"
1239,3/2/2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Seed Funding,,"1,000,000"
1240,3/2/2016,RoadGods,ECommerce,Auto Spare Parts eTailer,Seed Funding,,"100,000"
1241,3/2/2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Seed Funding,,"100,000"
1242,3/2/2016,Woodpie,Consumer Internet,Book Recommendation Service,Seed Funding,,"30,000"
1243,4/2/2016,Perfumery,ECommerce,Fragrances & Perfume eTailer,Seed Funding,,"30,000"
1244,5/2/2016,Magic Crate,Education,Children Education Platform,Seed Funding,,
1245,5/2/2016,ZenDrive,Technology,Safe Driving Data & Analytics platform,Private Equity,,"13,500,000"
1246,5/2/2016,Smartcooky,ECommerce,Marketplace for Health Foods,Private Equity,,
1247,5/2/2016,Turtlemint,Consumer Internet,online personalized insurance platform,Private Equity,,
1248,5/2/2016,BHIVE,Real Estate,Workspace Rentals,Seed Funding,,
1249,5/2/2016,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Private Equity,,"1,000,000"
1250,5/2/2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Seed Funding,,"81,000"
1251,5/2/2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Seed Funding,,"52,000"
1252,6/2/2016,Heads Up For Tails,Ecommerce,Pet Products eTailer,Seed Funding,,"1,000,000"
1253,6/2/2016,LiveNutriFit,Healthcare,Weight loss & Healthcare Info portal,Seed Funding,,
1254,8/2/2016,Moglix,Ecommerce,Industrial & Home Products Marketplace,Private Equity,,
1255,8/2/2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Seed Funding,,"100,000"
1256,8/2/2016,AdUrCup,Consumer Internet,Ad Network,Seed Funding,,"100,000"
1257,8/2/2016,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Private Equity,,
1258,8/2/2016,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Seed Funding,,
1259,8/2/2016,Gray Routes,Consumer Internet,Last mile logistics solutions,Seed Funding,,
1260,8/2/2016,Xpressbees,ECommerce,ECommerce Logistics solutions,Private Equity,,"12,500,000"
1261,8/2/2016,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,Private Equity,,
1262,8/2/2016,Hansel.io,Technology,Mobile App Tech Solutions,Seed Funding,,
1263,9/2/2016,Inc42,Consumer Internet,Startup Focused Media News Portal,Seed Funding,,
1264,9/2/2016,GOQii,Technology,Personalized fitness coaching & Fitness band,Private Equity,,
1265,10/2/2016,Capzest,Consumer Internet,Digital Lending Platform,Seed Funding,,"200,000"
1266,10/2/2016,GlamStudios,Consumer Internet,Online Salon Aggregator,Seed Funding,,
1267,10/2/2016,Affimity,Consumer Internet,Social Networking platform,Seed Funding,,"1,200,000"
1268,10/2/2016,Anandakanda,Technology,Medicine Intake Reminder System,Seed Funding,,"150,000"
1269,10/2/2016,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Seed Funding,,
1270,10/2/2016,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Seed Funding,,
1271,10/2/2016,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Seed Funding,,
1272,10/2/2016,OyBob,eCommerce,Hyperlocal Products & Services marketplace,Seed Funding,,
1273,12/2/2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Seed Funding,,"125,000"
1274,12/2/2016,Bonhomia,Food & Beverage,premium Tea and Coffee,Seed Funding,,"1,000,000"
1275,12/2/2016,iGrenEnergi,Technology,Solar Power Solutions,Seed Funding,,"1,000,000"
1276,12/2/2016,RKSV,Consumer Internet,Online Stock Trading Platform,Private Equity,,"4,000,000"
1277,15/02/2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Private Equity,,"5,000,000"
1278,15/02/2016,Snapdeal,eCommerce,Horizontal Online Marketplace,Private Equity,,"200,000,000"
1279,15/02/2016,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,Private Equity,,
1280,15/02/2016,Snapbizz,Technology,Connectivity platform for local grocery stores,Private Equity,,
1281,15/02/2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Seed Funding,,"50,000"
1282,15/02/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Seed Funding,,"300,000"
1283,15/02/2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Seed Funding,,"500,000"
1284,15/02/2016,Legistify,Consumer Internet,Online Legal services platform,Seed Funding,,
1285,16/02/2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Seed Funding,,"1,000,000"
1286,16/02/2016,BetterPlace,Technology,Data analytics based Verification services Platform,Seed Funding,,"970,000"
1287,16/02/2016,Salebhai,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace",Seed Funding,,
1288,16/02/2016,icustommadeit,eCommerce,Professional Custom creators Marketplace,Private Equity,,"4,000,000"
1289,16/02/2016,Tring,Consumer Internet,Instant Messaging App,Seed Funding,,
1290,16/02/2016,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Seed Funding,,
1291,17/02/2016,Timemytask,Consumer Internet,On-Demand home cleaning services,Seed Funding,,
1292,17/02/2016,GameZop,Technology,Mobile Gaming Platform,Seed Funding,,"350,000"
1293,17/02/2016,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Seed Funding,,
1294,17/02/2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Private Equity,,"10,000,000"
1295,17/02/2016,Avanti Learning,Education,Private Coaching Classes,Private Equity,,"5,000,000"
1296,17/02/2016,Bollant Industries,Technology,Eco-friendly consumer & packaging products,Private Equity,,
1297,18/02/2016,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,Private Equity,,
1298,18/02/2016,HealthKumbh,Consumer Internet,Health related Information portal,Seed Funding,,"73,000"
1299,18/02/2016,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Seed Funding,,
1300,18/02/2016,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Private Equity,,
1301,18/02/2016,Careongo,ECommerce,Online Pharmacy store,Seed Funding,,"300,000"
1302,18/02/2016,Ark Robot,Technology,Warehouse Automation,Seed Funding,,"350,000"
1303,19/02/2016,Jaypore,ECommerce,Ethnic Products marketplace,Private Equity,,"5,000,000"
1304,19/02/2016,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Seed Funding,,
1305,19/02/2016,AlmaConnect,Consumer Internet,Alumni social network,Seed Funding,,
1306,19/02/2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Seed Funding,,"400,000"
1307,19/02/2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Seed Funding,,
1308,22/02/2016,Baby Berry,Consumer Internet,Parenting Mobile app,Seed Funding,,"1,000,000"
1309,22/02/2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,Private Equity,,"3,000,000"
1310,22/02/2016,First Eat,Consumer Internet,Healthy Food Delivery platform,Seed Funding,,"100,000"
1311,22/02/2016,SigTuple,Technology,Healthcare based Tech Solutions,Seed Funding,,
1312,22/02/2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Private Equity,,"4,500,000"
1313,22/02/2016,Styledotme,Consumer Internet,Mobile Fashion App,Seed Funding,,"37,000"
1314,22/02/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,Private Equity,,
1315,23/02/2016,CupoNation,Consumer Internet,Deals and Discount platform,Private Equity,,"11,000,000"
1316,23/02/2016,Aarav UAV,Technology,unmanned aerial vehicles creator,Seed Funding,,
1317,24/02/2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Seed Funding,,"160,000"
1318,24/02/2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Seed Funding,,
1319,24/02/2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Private Equity,,"10,000,000"
1320,24/02/2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Seed Funding,,"400,000"
1321,24/02/2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Seed Funding,,"150,000"
1322,24/02/2016,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Seed Funding,,
1323,25/02/2016,OfBusiness,eCommerce,B2B commerce Marketplace,Private Equity,,"5,000,000"
1324,25/02/2016,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Seed Funding,,
1325,25/02/2016,Juspay,Consumer Internet,Digital Payments solutions,Private Equity,,"5,800,000"
1326,25/02/2016,Funcart,eCommerce,Party Supplies Etailer,Seed Funding,,"70,000"
1327,26/02/2016,Freedom Smart Labs,Technology,IoT retail solutions,Seed Funding,,"145,000"
1328,26/02/2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Private Equity,,"2,500,000"
1329,29/02/2016,Nestaway,Consumer Internet,Online Home Rental Marketplace,Private Equity,,
1330,29/02/2016,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Private Equity,,"13,000,000"
1331,29/02/2016,PinClick,Consumer Internet,Online real estate listings,Private Equity,,
1332,1/1/2016,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,Seed Funding,,
1333,1/1/2016,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Seed Funding,,
1334,4/1/2016,DogSpot,ECommerce,Online Pet Store,Seed Funding,,
1335,4/1/2016,Career360,Education,College Education Portal,Private Equity,,
1336,4/1/2016,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,Private Equity,,"6,000,000"
1337,5/1/2016,WIMWI Foods,Food & Beverage,Healthy food manufacturing & sales startup,Seed Funding,,
1338,5/1/2016,MyChild App,Education,Child Disorder Information & Education,Seed Funding,,"100,000"
1339,5/1/2016,Instaproc,ECommerce,B2B Procurement Marketplace for Office Products,Seed Funding,,
1340,5/1/2016,360Ride,Consumer Internet,Ride Sharing platform,Seed Funding,,"150,000"
1341,5/1/2016,AlefMobitech,Consumer Internet,Cloud Mobility Solutions,Private Equity,,"5,000,000"
1342,6/1/2016,Tracxn,BFSI,Startup Funding Deal Discovery & Execution platform,Seed Funding,,
1343,6/1/2016,Qdesq,Real Estate,Branded Workspaces Aggregator,Seed Funding,,
1344,6/1/2016,Sensara,Technology,"TV Search, Guide and Remote mobile app",Seed Funding,,"750,000"
1345,6/1/2016,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Private Equity,,"1,000,000"
1346,6/1/2016,PlanMyMedicalTrip,Healthcare,Medical Tourism platform,Seed Funding,,"150,000"
1347,6/1/2016,MyCity4Kids,Education,Children Education & Information platform,Private Equity,,"3,000,000"
1348,6/1/2016,Justdakhila.com,Education,School Student admissions platform,Seed Funding,,"750,000"
1349,7/1/2016,PitStop,Consumer Internet,Automobile Service Booking App,Seed Funding,,
1350,7/1/2016,Bikxie,Consumer Internet,Two Wheeler Taxi Service,Seed Funding,,
1351,7/1/2016,Infurnia,Consumer Internet,Online Furniture Customization platform,Seed Funding,,"160,000"
1352,7/1/2016,Myly,Education,Mobile Based Education platform,Seed Funding,,"100,000"
1353,7/1/2016,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Private Equity,,"180,000,000"
1354,8/1/2016,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Private Equity,,"5,000,000"
1355,8/1/2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Seed Funding,,"250,000"
1356,8/1/2016,Gyaanzone,Education,Career Planning and Education Advisory Platform,Seed Funding,,"45,000"
1357,8/1/2016,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Seed Funding,,
1358,9/1/2016,Lumiere,ECommerce,Organic Food eTailer,Private Equity,,
1359,11/1/2016,Koovs,ECommerce,Online Fashion Apparel Retailer,Private Equity,,"5,400,000"
1360,11/1/2016,Wishup,Consumer Internet,Mobile app based Concierge Service,Seed Funding,,
1361,11/1/2016,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Private Equity,,"16,500,000"
1362,11/1/2016,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Seed Funding,,"1,000,000"
1363,11/1/2016,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Seed Funding,,
1364,12/1/2016,Shopclues,ECommerce,ECommerce Marketplace,Private Equity,,"100,000,000"
1365,12/1/2016,Hike Messenger,Consumer Internet,P2P Messaging Service,Private Equity,,
1366,12/1/2016,iBus Networks,Technology,Next Generation in-building connectivity,Private Equity,,"2,300,000"
1367,12/1/2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Seed Funding,,"250,000"
1368,13/01/2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Private Equity,,"145,000,000"
1369,13/01/2016,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Seed Funding,,"100,000"
1370,13/01/2016,Roder,Consumer Internet,inter-city cab aggregator,Seed Funding,,"240,000"
1371,13/01/2016,Bucker,Consumer Internet,Food Ordering Mobile App,Seed Funding,,
1372,13/01/2016,Care24,Healthcare,Professional Health Services Platform,Private Equity,,"4,000,000"
1373,13/01/2016,Obino,Healthcare,Weigh Loss Coaching,Private Equity,,
1374,14/01/2016,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Seed Funding,,
1375,14/01/2016,Buildkar,ECommerce,Construction Material Marketplace,Seed Funding,,
1376,14/01/2016,Orahi,Consumer Internet,Carpooling Mobile App,Seed Funding,,"520,000"
1377,14/01/2016,Zapr,Technology,TV to Mobile audience Platform,Seed Funding,,
1378,15/01/2016,Remidio,Healthcare,Healthcare Product Manufacturer,Private Equity,,
1379,15/01/2016,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Seed Funding,,"200,000"
1380,15/01/2016,evibe.in,Consumer Internet,Party Hall Booking platform,Seed Funding,,
1381,15/01/2016,Zoctr,Consumer Internet,healthcare aggregator platform,Seed Funding,,
1382,15/01/2016,Jobick,Consumer Internet,Mobile app based Job Search,Seed Funding,,
1383,16/01/2016,Plick,Consumer Internet,Instant Content Transfer Mobile App,Seed Funding,,
1384,18/01/2016,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Seed Funding,,
1385,18/01/2016,Kartrocket,Consumer Internet,SAAS DIY  ECommerce Platform,Private Equity,,"6,000,000"
1386,19/01/2016,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Private Equity,,"35,000,000"
1387,19/01/2016,TinyStep,Consumer Internet,Parenting Social Network,Seed Funding,,
1388,19/01/2016,Cashkaro,Consumer Internet,Coupon & Cashback platform,Private Equity,,
1389,19/01/2016,Gameezop,Consumer Internet,Casual Gaming platform,Seed Funding,,
1390,19/01/2016,DailyObjects,ECommerce,Mobile Accessories etailer,Private Equity,,"1,400,000"
1391,19/01/2016,Indus OS,Technology,Local language Mobile OS,Private Equity,,"5,000,000"
1392,19/01/2016,CollegeDunia,Consumer Internet,Educational College Search platform,Seed Funding,,"445,000"
1393,19/01/2016,Villgro,Finance,Social Business Incubator & Fund,Private Equity,,"3,500,000"
1394,20/01/2016,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,Private Equity,,
1395,20/01/2016,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,Private Equity,,"1,800,000"
1396,20/01/2016,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Private Equity,,"20,000,000"
1397,20/01/2016,IMbesharam,ECommerce,Adult Products Etailers,Private Equity,,"4,000,000"
1398,20/01/2016,Moodoo,Consumer Internet,Social Meeting organizer App,Seed Funding,,"40,000"
1399,20/01/2016,Saral Designs,Healthcare,Women Hygiene Product Manufacturer,Seed Funding,,
1400,21/01/2016,FirstCry,ECommerce,Kids Focused eTailer,Private Equity,,
1401,21/01/2016,Fisdom,Consumer Internet,Personal Finance Mobile App,Seed Funding,,"500,000"
1402,21/01/2016,Easypolicy,Consumer Internet,Online insurance policy aggregator,Private Equity,,"2,200,000"
1403,21/01/2016,Housing.com,Consumer Internet,Online Real Estate Portal,Private Equity,,"15,000,000"
1404,21/01/2016,CREO,Technology,Smartphone OS Developer,Private Equity,,"3,000,000"
1405,22/01/2016,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Seed Funding,,"200,000"
1406,22/01/2016,Little,Consumer Internet,Deal Discovery App,Private Equity,,
1407,22/01/2016,SnapBizz,ECommerce,Mobile based Retail Market Ecosystem,Private Equity,,"7,200,000"
1408,22/01/2016,Qlivery,Consumer Internet,on-demand concierge services,Seed Funding,,
1409,22/01/2016,PlexusMD,Consumer Internet,Social Network for Healthcare Professionals,Seed Funding,,
1410,22/01/2016,Silvan,Technology,Home Automation & Security Solutions,Seed Funding,,"515,000"
1411,22/01/2016,EPS,Technology,Electronic Payments Solution Company,Private Equity,,"35,000,000"
1412,22/01/2016,Qubole,Technology,Enterprise Cloud Based Data Processing,Private Equity,,"30,000,000"
1413,22/01/2016,Gajty,Healthcare,Salons & Spa Chain,Seed Funding,,
1414,25/01/2016,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Seed Funding,,"150,000"
1415,25/01/2016,Power2SME,Consumer Internet,SME Online Buying Hub,Private Equity,,"21,000,000"
1416,25/01/2016,SkyCandle,ECommerce,Home Décor Product etailer,Private Equity,,
1417,27/01/2016,Teabox.com,ECommerce,Specialty Tea ETailer,Private Equity,,
1418,27/01/2016,Buildzar,ECommerce,Construction Material ETailer,Private Equity,,"4,000,000"
1419,27/01/2016,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Seed Funding,,"1,000,000"
1420,27/01/2016,WhatsOnRent,ECommerce,Online Rental Marketplace,Seed Funding,,
1421,28/01/2016,Zebi (yet to launch),Technology,Data Intelligence & Analytics,Seed Funding,,"1,000,000"
1422,28/01/2016,Truce,FMCG,Vegetables & Fruits Supply Chain,Seed Funding,,"370,000"
1423,28/01/2016,JustDoc,Consumer Interne,Medical Video Consultation platform,Seed Funding,,
1424,28/01/2016,Myeglu,Technology,Connected Smart Home Solutions,Seed Funding,,
1425,29/01/2016,BitGiving,Consumer Internet,Crowd Funding Platform,Seed Funding,,
1426,29/01/2016,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Seed Funding,,"160,000"
1427,29/01/2016,N.O.W,Consumer Internet,Rental Bike Aggregator App,Seed Funding,,
1428,29/01/2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Seed Funding,,"185,000"
1429,29/01/2016,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Private Equity,,"17,000,000"
1430,29/01/2016,Truebil,ECommerce,Online marketplace for cars,Private Equity,,"5,150,000"
1431,29/01/2016,Rare Media,Technology,Mobile & Cloud based App developer,Private Equity,,"1,100,000"
1432,29/01/2016,TinMen,Consumer Internet,Food Delivery Platform,Seed Funding,,
1433,29/01/2016,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Seed Funding,,
1434,30/01/2016,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Seed Funding,,
1435,30/01/2016,DesignBids,Consumer Internet,Interior Design Marketplace,Seed Funding,,
1436,1/12/2015,CollegeDekho,Online Education Information platform,,Seed Funding,,"1,000,000"
1437,1/12/2015,Black White Orange Brands,Brand Licensing Startup,,Seed Funding,,
1438,1/12/2015,Biteclub,Gourmet Food Discovery & Delivery platform,,Private Equity,,
1439,1/12/2015,Patel Logistics,Transportation & Logistics Platform,,Private Equity,,"5,600,000"
1440,1/12/2015,Wigzo,Enterprise Marketing Automation platform,,Seed Funding,,"500,000"
1441,1/12/2015,Zapluk,"Health, Wellness & Beauty Services App",,Seed Funding,,
1442,1/12/2015,Godof Hospitals,Digital Healthcare,,Seed Funding,,"2,000,000"
1443,2/12/2015,RoomsTonite,Last Minute Hotel Booking App,,Seed Funding,,"1,500,000"
1444,2/12/2015,Kaaryah,Womens Fashion Wear Portal,,Private Equity,,
1445,3/12/2015,Anakage,Product Learning platform,,Seed Funding,,
1446,3/12/2015,EasyKhaana,Online Food ordering & Delivery platform,,Seed Funding,,"100,000"
1447,3/12/2015,Shuttl,App based Bus Pooling Services,,Private Equity,,"20,000,000"
1448,3/12/2015,Eckovation,Social Learning Platform,,Seed Funding,,
1449,3/12/2015,Fitcircle,Social Fitness platform,,Seed Funding,,
1450,4/12/2015,Applop,On Demand Mobile app developer,,Seed Funding,,"100,000"
1451,4/12/2015,CaRPM,Car Maintenance & Management mobile app,,Seed Funding,,"100,000"
1452,4/12/2015,NDTV Wedding portal,Online Wedding Marketplace,,Private Equity,,"20,000,000"
1453,4/12/2015,Splitkart,Splitting Bills Mobile App,,Seed Funding,,
1454,7/12/2015,Zenatix,IOT Energy Management Analytics platform,,Private Equity,,
1455,7/12/2015,Customfurnish,Custom Made furniture e-tailer,,Private Equity,,"4,500,000"
1456,7/12/2015,Faasos,QSR Chain,,Private Equity,,"30,000,000"
1457,7/12/2015,Vlurn,eLearning platform,,Seed Funding,,
1458,7/12/2015,Leaf Wearables,Smart Safety Wearable Devices,,Seed Funding,,"250,000"
1459,7/12/2015,Coolshare,Cab Sharing service Mobile app,,Seed Funding,,"100,000"
1460,8/12/2015,mFicient,Cloud Enterprise Mobility Platform,,Seed Funding,,
1461,8/12/2015,HeyBiz,Online Shopping Assistant Mobile app,,Seed Funding,,
1462,8/12/2015,Yumist,Home Cooked Food Order & Delivery platform,,Private Equity,,"2,000,000"
1463,9/12/2015,Jigsaw Academy,Online School for Analytics learning,,Private Equity,,"3,000,000"
1464,9/12/2015,JoeHukum,Chat based personal Assistant App,,Seed Funding,,
